group,user,kc,competency
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,CO.5,0.553599521
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,CO.6,0.545957726
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,GMD.4,0.491513014
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,CO.5,0.478141304
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,CO.6,0.46801499
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,GMD.4,0.590634903
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,CO.5,0.594333702
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,CO.6,0.58803311
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,MG.1,0.39129202
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,GMD.4,0.421796909
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,CO.5,0.396418876
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,CO.6,0.38360179
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,MG.1,0.655687831
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,GMD.4,0.503170264
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,CO.5,0.491806134
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,CO.6,0.482129745
