,group,user,task_id,puzzle_difficulty,completed,timestamp,active_time,percentileActiveTime,n_events,percentileEvents,n_check_solution,percentileAtt,percentileComposite,persistence,n_breaks,n_snapshot,n_rotate_view,n_manipulation_events,time_failed_submission_exit,avg_time_between_submissions,cum_weighted_difficulty_perc_composite,percentileCompositeAcrossAttempts,persistenceAcrossAttempts,cum_global_puzzle_attempts,cum_this_puzzle_attempt,cum_avg_perc_composite,cum_avg_persistence
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~6. Stretch a Ramp~3,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,6. Stretch a Ramp,0.107035,0.0,2019-09-13 12:10:36.712859-04:00,8.91,1.64,4.0,1.23,0.0,4.1,2.32,NON_PERSISTANT,0.0,0.0,0.0,0.0,NA,NA,55.69,3.12,LESS_PERSISTANCE_THAN_NORMAL,13.0,3,59.21,"{""NON_PERSISTANT "": 15.38, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 15.38, ""UNPRODUCTIVE_PERSISTANCE"": 15.38, ""NO_BEHAVIOR"": 53.85}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~7. Max 2 Boxes~3,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,7. Max 2 Boxes,0.078039,0.0,2019-09-13 12:10:44.865626-04:00,8.32,2.43,4.0,2.83,0.0,4.86,3.37,NON_PERSISTANT,0.0,0.0,0.0,0.0,NA,NA,52.24,9.38,LESS_PERSISTANCE_THAN_NORMAL,14.0,3,55.22,"{""NON_PERSISTANT "": 21.43, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 14.29, ""UNPRODUCTIVE_PERSISTANCE"": 14.29, ""NO_BEHAVIOR"": 50.0}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~6. Stretch a Ramp~4,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,6. Stretch a Ramp,0.107035,0.0,2019-09-13 12:10:53.318022-04:00,32.24,10.25,13.0,9.84,1.0,36.89,18.99,NON_PERSISTANT,0.0,0.0,0.0,2.0,2.6,23.92,49.49,28.12,NORMAL_PERSISTANCE,15.0,4,52.8,"{""NON_PERSISTANT "": 26.67, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 13.33, ""UNPRODUCTIVE_PERSISTANCE"": 13.33, ""NO_BEHAVIOR"": 46.67}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~6. Stretch a Ramp~5,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,6. Stretch a Ramp,0.107035,0.0,2019-09-13 12:11:25.134581-04:00,28.67,8.61,12.0,6.56,1.0,36.89,17.35,NON_PERSISTANT,0.0,0.0,0.0,3.0,2.48,20.96,47.03,25.0,LESS_PERSISTANCE_THAN_NORMAL,16.0,5,50.59,"{""NON_PERSISTANT "": 31.25, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 12.5, ""NO_BEHAVIOR"": 43.75}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~7. Max 2 Boxes~4,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,7. Max 2 Boxes,0.078039,1.0,2019-09-13 12:11:54.300912-04:00,58.08,54.25,22.0,46.96,1.0,64.37,55.2,NO_BEHAVIOR,0.0,0.0,0.0,6.0,NA,49.76,47.46,53.12,NORMAL_PERSISTANCE,17.0,4,50.86,"{""NON_PERSISTANT "": 29.41, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 11.76, ""UNPRODUCTIVE_PERSISTANCE"": 11.76, ""NO_BEHAVIOR"": 47.06}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~6. Stretch a Ramp~6,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,6. Stretch a Ramp,0.107035,0.0,2019-09-13 12:12:52.535339-04:00,39.83,15.98,16.0,15.16,1.0,36.89,22.68,NON_PERSISTANT,0.0,0.0,0.0,6.0,2.32,34.66,45.78,34.38,NORMAL_PERSISTANCE,18.0,6,49.29,"{""NON_PERSISTANT "": 33.33, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 11.11, ""UNPRODUCTIVE_PERSISTANCE"": 11.11, ""NO_BEHAVIOR"": 44.44}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~6. Stretch a Ramp~7,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,6. Stretch a Ramp,0.107035,1.0,2019-09-13 12:13:31.937752-04:00,37.93,13.52,15.0,12.3,1.0,36.89,20.9,RAPID_SOLVER,0.0,0.0,0.0,3.0,NA,29.91,44.21,31.25,NORMAL_PERSISTANCE,19.0,7,47.8,"{""NON_PERSISTANT "": 31.58, ""RAPID_SOLVER"": 5.26, ""PRODUCTIVE_PERSISTANCE"": 10.53, ""UNPRODUCTIVE_PERSISTANCE"": 10.53, ""NO_BEHAVIOR"": 42.11}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Square Cross-Sections~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Square Cross-Sections,0.199714,0.0,2019-09-13 12:14:10.037741-04:00,371.01,83.26,152.0,83.7,7.0,92.51,86.49,UNPRODUCTIVE_PERSISTANCE,1.0,0.0,6.0,63.0,272.85,52.34,48.67,93.75,MORE_PERSISTANCE_THAN_NORMAL,20.0,1,49.73,"{""NON_PERSISTANT "": 30.0, ""RAPID_SOLVER"": 5.0, ""PRODUCTIVE_PERSISTANCE"": 10.0, ""UNPRODUCTIVE_PERSISTANCE"": 15.0, ""NO_BEHAVIOR"": 40.0}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Bird Fez~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Bird Fez,0.156674,0.0,2019-09-13 12:20:20.557060-04:00,343.02,82.24,141.0,82.24,5.0,85.05,83.18,UNPRODUCTIVE_PERSISTANCE,2.0,0.0,0.0,91.0,265.57,67.03,51.32,90.62,MORE_PERSISTANCE_THAN_NORMAL,21.0,1,51.33,"{""NON_PERSISTANT "": 28.57, ""RAPID_SOLVER"": 4.76, ""PRODUCTIVE_PERSISTANCE"": 9.52, ""UNPRODUCTIVE_PERSISTANCE"": 19.05, ""NO_BEHAVIOR"": 38.1}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~45-Degree Rotations~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,45-Degree Rotations,0.096715,0.0,2019-09-13 12:26:04.586219-04:00,178.82,72.89,88.0,71.69,1.0,65.06,69.88,NO_BEHAVIOR,0.0,0.0,2.0,66.0,2.01,171.68,52.15,71.88,NORMAL_PERSISTANCE,22.0,1,52.17,"{""NON_PERSISTANT "": 27.27, ""RAPID_SOLVER"": 4.55, ""PRODUCTIVE_PERSISTANCE"": 9.09, ""UNPRODUCTIVE_PERSISTANCE"": 18.18, ""NO_BEHAVIOR"": 40.91}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Pyramids are Strange~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Pyramids are Strange,0.1796,1.0,2019-09-13 12:29:02.173961-04:00,92.46,31.41,51.0,36.13,2.0,59.16,42.23,NO_BEHAVIOR,0.0,0.0,1.0,25.0,NA,42.5,51.39,46.88,NORMAL_PERSISTANCE,23.0,1,51.74,"{""NON_PERSISTANT "": 26.09, ""RAPID_SOLVER"": 4.35, ""PRODUCTIVE_PERSISTANCE"": 8.7, ""UNPRODUCTIVE_PERSISTANCE"": 17.39, ""NO_BEHAVIOR"": 43.48}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Boxes Obscure Spheres~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Boxes Obscure Spheres,0.266198,0.0,2019-09-13 12:30:39.618697-04:00,207.7,51.3,75.0,50.26,5.0,78.76,60.1,NO_BEHAVIOR,1.0,0.0,1.0,39.0,113.67,39.8,52.28,62.5,NORMAL_PERSISTANCE,24.0,1,52.09,"{""NON_PERSISTANT "": 25.0, ""RAPID_SOLVER"": 4.17, ""PRODUCTIVE_PERSISTANCE"": 8.33, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 45.83}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Object Limits~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Object Limits,0.257177,1.0,2019-09-13 12:34:02.413539-04:00,154.79,57.65,41.0,42.94,5.0,77.06,59.22,NO_BEHAVIOR,1.0,0.0,1.0,19.0,NA,29.39,52.91,56.25,NORMAL_PERSISTANCE,25.0,1,52.37,"{""NON_PERSISTANT "": 24.0, ""RAPID_SOLVER"": 4.0, ""PRODUCTIVE_PERSISTANCE"": 8.0, ""UNPRODUCTIVE_PERSISTANCE"": 16.0, ""NO_BEHAVIOR"": 48.0}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Warm Up~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Warm Up,0.183971,1.0,2019-09-13 12:36:37.434751-04:00,25.52,17.6,14.0,25.6,1.0,88.0,43.73,NO_BEHAVIOR,0.0,0.0,0.0,4.0,NA,20.01,52.35,50.0,NORMAL_PERSISTANCE,26.0,1,52.04,"{""NON_PERSISTANT "": 23.08, ""RAPID_SOLVER"": 3.85, ""PRODUCTIVE_PERSISTANCE"": 7.69, ""UNPRODUCTIVE_PERSISTANCE"": 15.38, ""NO_BEHAVIOR"": 50.0}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Angled Silhouette~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Angled Silhouette,0.147673,0.0,2019-09-13 12:37:02.519850-04:00,20.87,14.56,10.0,15.19,0.0,20.25,16.67,NON_PERSISTANT,0.0,0.0,0.0,3.0,NA,NA,50.69,21.88,LESS_PERSISTANCE_THAN_NORMAL,27.0,1,50.73,"{""NON_PERSISTANT "": 25.93, ""RAPID_SOLVER"": 3.7, ""PRODUCTIVE_PERSISTANCE"": 7.41, ""UNPRODUCTIVE_PERSISTANCE"": 14.81, ""NO_BEHAVIOR"": 48.15}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Sandbox~1,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Sandbox,1e-06,0.0,2019-09-13 12:37:27.342047-04:00,11.5,9.3,5.0,11.63,0.0,98.84,39.92,NO_BEHAVIOR,0.0,0.0,0.0,0.0,NA,NA,50.69,40.62,NORMAL_PERSISTANCE,28.0,1,50.34,"{""NON_PERSISTANT "": 25.0, ""RAPID_SOLVER"": 3.57, ""PRODUCTIVE_PERSISTANCE"": 7.14, ""UNPRODUCTIVE_PERSISTANCE"": 14.29, ""NO_BEHAVIOR"": 50.0}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Angled Silhouette~2,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Angled Silhouette,0.147673,0.0,2019-09-13 12:37:36.247796-04:00,107.55,63.92,61.0,68.99,2.0,86.08,73.0,NO_BEHAVIOR,0.0,0.0,0.0,36.0,3.14,51.48,51.68,81.25,MORE_PERSISTANCE_THAN_NORMAL,29.0,2,51.12,"{""NON_PERSISTANT "": 24.14, ""RAPID_SOLVER"": 3.45, ""PRODUCTIVE_PERSISTANCE"": 6.9, ""UNPRODUCTIVE_PERSISTANCE"": 13.79, ""NO_BEHAVIOR"": 51.72}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Boxes Obscure Spheres~2,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Boxes Obscure Spheres,0.266198,0.0,2019-09-13 12:39:21.989867-04:00,2.85,1.04,4.0,5.7,0.0,11.4,6.04,NON_PERSISTANT,1.0,0.0,0.0,0.0,NA,NA,48.3,12.5,LESS_PERSISTANCE_THAN_NORMAL,30.0,2,49.62,"{""NON_PERSISTANT "": 26.67, ""RAPID_SOLVER"": 3.33, ""PRODUCTIVE_PERSISTANCE"": 6.67, ""UNPRODUCTIVE_PERSISTANCE"": 13.33, ""NO_BEHAVIOR"": 50.0}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Square Cross-Sections~2,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Square Cross-Sections,0.199714,0.0,2019-09-13 12:40:58.765236-04:00,3.4,0.88,4.0,5.29,0.0,14.1,6.75,NON_PERSISTANT,1.0,0.0,0.0,0.0,NA,NA,46.11,15.62,LESS_PERSISTANCE_THAN_NORMAL,31.0,2,48.24,"{""NON_PERSISTANT "": 29.03, ""RAPID_SOLVER"": 3.23, ""PRODUCTIVE_PERSISTANCE"": 6.45, ""UNPRODUCTIVE_PERSISTANCE"": 12.9, ""NO_BEHAVIOR"": 48.39}"
c6262795f034865c9e9203305638ee79~185f8ea3abb5153621b2759e8972478f~Angled Silhouette~3,c6262795f034865c9e9203305638ee79,185f8ea3abb5153621b2759e8972478f,Angled Silhouette,0.147673,0.0,2019-09-13 12:42:20.347379-04:00,3.26,0.63,4.0,12.03,0.0,20.25,10.97,NON_PERSISTANT,1.0,0.0,0.0,0.0,NA,NA,44.8,18.75,LESS_PERSISTANCE_THAN_NORMAL,32.0,3,47.07,"{""NON_PERSISTANT "": 31.25, ""RAPID_SOLVER"": 3.12, ""PRODUCTIVE_PERSISTANCE"": 6.25, ""UNPRODUCTIVE_PERSISTANCE"": 12.5, ""NO_BEHAVIOR"": 46.88}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~Square Cross-Sections~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,Square Cross-Sections,0.199714,0.0,2019-09-12 14:56:47.214724-04:00,191.45,62.11,103.0,70.04,0.0,14.1,48.75,NO_BEHAVIOR,2.0,0.0,29.0,33.0,NA,NA,48.75,62.5,NORMAL_PERSISTANCE,1.0,1,48.75,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~1. One Box~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,1. One Box,2e-06,1.0,2019-09-12 14:59:49.670638-04:00,12.21,1.67,8.0,23.0,1.0,100.0,41.56,NO_BEHAVIOR,0.0,0.0,0.0,1.0,NA,7.22,48.75,37.5,NORMAL_PERSISTANCE,2.0,1,45.15,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~2. Separated Boxes~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,2. Separated Boxes,0.111127,0.0,2019-09-12 15:00:02.460029-04:00,147.47,83.81,44.0,73.74,3.0,83.09,80.22,UNPRODUCTIVE_PERSISTANCE,2.0,0.0,0.0,11.0,80.24,46.62,60.0,87.5,MORE_PERSISTANCE_THAN_NORMAL,3.0,1,56.84,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 33.33, ""NO_BEHAVIOR"": 66.67}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~3. Rotate a Pyramid~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,3. Rotate a Pyramid,0.083447,1.0,2019-09-12 15:02:30.067927-04:00,42.63,29.93,19.0,40.88,1.0,45.26,38.69,NO_BEHAVIOR,0.0,0.0,0.0,9.0,NA,36.15,55.49,25.0,LESS_PERSISTANCE_THAN_NORMAL,4.0,1,52.3,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 25.0, ""NO_BEHAVIOR"": 75.0}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~4. Match Silhouettes~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,4. Match Silhouettes,0.061887,1.0,2019-09-12 15:03:12.663193-04:00,289.97,85.45,140.0,89.55,4.0,91.04,88.68,PRODUCTIVE_PERSISTANCE,1.0,0.0,16.0,15.0,NA,107.66,59.99,100.0,MORE_PERSISTANCE_THAN_NORMAL,5.0,1,59.58,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 20.0, ""NO_BEHAVIOR"": 60.0}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~5. Removing Objects~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,5. Removing Objects,0.106021,1.0,2019-09-12 15:10:29.503086-04:00,139.12,56.02,65.0,61.65,8.0,95.49,71.05,NO_BEHAVIOR,0.0,0.0,0.0,22.0,NA,16.59,62.08,75.0,MORE_PERSISTANCE_THAN_NORMAL,6.0,1,61.49,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 66.67}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~6. Stretch a Ramp~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,6. Stretch a Ramp,0.107035,1.0,2019-09-12 15:12:49.079769-04:00,65.2,31.97,30.0,36.48,2.0,70.08,46.17,NO_BEHAVIOR,0.0,0.0,6.0,9.0,NA,28.97,59.53,50.0,NORMAL_PERSISTANCE,7.0,1,59.3,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 14.29, ""UNPRODUCTIVE_PERSISTANCE"": 14.29, ""NO_BEHAVIOR"": 71.43}"
c6262795f034865c9e9203305638ee79~eb28ab106ea3efb1b9e586b1b531b7b8~7. Max 2 Boxes~1,c6262795f034865c9e9203305638ee79,eb28ab106ea3efb1b9e586b1b531b7b8,7. Max 2 Boxes,0.078039,0.0,2019-09-12 15:13:54.169242-04:00,15.01,4.45,7.0,3.64,0.0,4.86,4.32,NON_PERSISTANT,0.0,0.0,0.0,1.0,NA,NA,53.77,12.5,LESS_PERSISTANCE_THAN_NORMAL,8.0,1,52.43,"{""NON_PERSISTANT "": 12.5, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 12.5, ""NO_BEHAVIOR"": 62.5}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~1. One Box~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,1. One Box,2e-06,1.0,2019-09-12 14:57:16.151292-04:00,89.09,80.33,32.0,83.0,1.0,100.0,87.78,PRODUCTIVE_PERSISTANCE,1.0,0.0,13.0,9.0,NA,69.58,87.78,88.46,MORE_PERSISTANCE_THAN_NORMAL,1.0,1,87.78,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 100.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 0}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~2. Separated Boxes~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,2. Separated Boxes,0.111127,1.0,2019-09-12 14:58:32.872801-04:00,326.22,95.68,146.0,97.12,3.0,83.09,91.97,PRODUCTIVE_PERSISTANCE,0.0,0.0,46.0,38.0,NA,105.62,91.97,100.0,MORE_PERSISTANCE_THAN_NORMAL,2.0,1,89.87,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 100.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 0}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~3. Rotate a Pyramid~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,3. Rotate a Pyramid,0.083447,1.0,2019-09-12 15:03:56.373120-04:00,28.54,15.33,14.0,25.91,2.0,73.36,38.2,NO_BEHAVIOR,0.0,0.0,0.0,4.0,NA,11.2,68.91,26.92,NORMAL_PERSISTANCE,3.0,1,72.65,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 66.67, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 33.33}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~4. Match Silhouettes~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,4. Match Silhouettes,0.061887,1.0,2019-09-12 15:04:24.923862-04:00,87.28,58.58,41.0,65.3,1.0,61.19,61.69,NO_BEHAVIOR,0.0,0.0,14.0,17.0,NA,81.52,67.17,50.0,NORMAL_PERSISTANCE,4.0,1,69.91,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 50.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~5. Removing Objects~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,5. Removing Objects,0.106021,1.0,2019-09-12 15:05:52.056154-04:00,35.04,13.53,18.0,24.06,1.0,53.01,30.2,NO_BEHAVIOR,0.0,0.0,6.0,4.0,NA,27.42,56.35,7.69,LESS_PERSISTANCE_THAN_NORMAL,5.0,1,61.97,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 40.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 60.0}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~6. Stretch a Ramp~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,6. Stretch a Ramp,0.107035,1.0,2019-09-12 15:06:28.753571-04:00,231.33,84.43,114.0,88.52,5.0,90.98,87.98,PRODUCTIVE_PERSISTANCE,0.0,0.0,46.0,31.0,NA,44.81,63.56,92.31,MORE_PERSISTANCE_THAN_NORMAL,6.0,1,66.3,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 50.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~7. Max 2 Boxes~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,7. Max 2 Boxes,0.078039,1.0,2019-09-12 15:10:18.535727-04:00,31.22,27.53,16.0,29.96,2.0,82.19,46.56,NO_BEHAVIOR,0.0,0.0,0.0,6.0,NA,11.91,61.14,30.77,NORMAL_PERSISTANCE,7.0,1,63.48,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 42.86, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 57.14}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~8. Combine 2 Ramps~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,8. Combine 2 Ramps,0.068608,1.0,2019-09-12 15:10:49.887487-04:00,105.91,64.71,50.0,65.61,1.0,75.11,68.48,NO_BEHAVIOR,0.0,0.0,13.0,16.0,NA,98.32,61.96,73.08,NORMAL_PERSISTANCE,8.0,1,64.11,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 37.5, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 62.5}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~9. Scaling Round Objects~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,9. Scaling Round Objects,0.128647,1.0,2019-09-12 15:12:36.817398-04:00,134.68,58.8,88.0,72.22,2.0,69.44,66.82,NO_BEHAVIOR,0.0,0.0,7.0,30.0,NA,65.26,62.8,65.38,NORMAL_PERSISTANCE,9.0,1,64.41,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~Square Cross-Sections~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,Square Cross-Sections,0.199714,1.0,2019-09-13 11:58:07.292400-04:00,204.85,64.32,114.0,73.13,2.0,63.0,66.81,NO_BEHAVIOR,2.0,0.0,14.0,37.0,NA,71.66,63.65,61.54,NORMAL_PERSISTANCE,10.0,1,64.65,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 30.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 70.0}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~Bird Fez~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,Bird Fez,0.156674,1.0,2019-09-13 12:00:37.796183-04:00,110.1,35.05,40.0,27.1,1.0,45.79,35.98,NO_BEHAVIOR,0.0,0.0,10.0,16.0,NA,102.47,59.71,19.23,LESS_PERSISTANCE_THAN_NORMAL,11.0,1,62.04,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 27.27, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 72.73}"
c6262795f034865c9e9203305638ee79~a37a6bbde30f576840b754d721c3b767~Pi Henge~1,c6262795f034865c9e9203305638ee79,a37a6bbde30f576840b754d721c3b767,Pi Henge,0.067346,1.0,2019-09-13 12:02:28.210720-04:00,111.0,55.95,41.0,43.45,2.0,85.71,61.71,NO_BEHAVIOR,0.0,0.0,0.0,15.0,NA,51.59,59.83,53.85,NORMAL_PERSISTANCE,12.0,1,62.01,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 75.0}"
